record_id,station_id,station_name,measured_at,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction,pm10_ugm3,pm25_ugm3,rainfall_mm,battery_pct,status
21,ST-12,아산관측소,2025-11-09 06:00:00,2.0,83.8,1015.3,4.69,NW,15.4,10.2,0.0,32.9,정상
22,ST-07,공주관측소,02-Jun-2025 18:00:00,24.8,53.1,1016.2,3.9,NW,30.5,20.1,0.0,31.6,점검중
23,ST-09,보령관측소,2025-06-25 15:30:00,28.9,46.7,1021.7,1.28,SW,22.0,11.1,0.0,94.5,OK
24,ST-05,청주관측소,2025-03-11 20:30:00,2.4,94.9,1022.8,4.26,S,28.4,20.0,0.0,68.0,OK
25,ST-06,천안관측소,2025-08-01 04:00:00,18.9,65.7,1017.4,0.96,SW,29.7,20.7,0.0,79.1,OK
26,ST-01,대덕관측소,2025-06-26 02:30:00,21.1,64.4,1014.4,3.88,E,11.1,5.0,0.0,96.4,normal
27,ST-03,신탄진관측소,2025-01-17 19:00:00,4.3,83.9,1016.1,1.22,SW,10.5,1.6,,94.0,OK
28,ST-10,서산관측소,2025-03-02 08:00:00,3.3,83.8,1021.4,0.5,NE,24.5,12.2,0.0,72.8,OK
29,ST-06,천안관측소,2025-05-12 17:00:00,-999.0,80.8,1009.7,2.49,W,36.9,24.3,0.0,40.7,정상
30,ST-12,아산관측소,2025-10-30 06:30:00,7.7,72.3,1001.0,3.86,NW,24.9,16.5,0.0,37.7,정상
31,ST-03,신탄진관측소,2025-07-28 04:30:00,20.4,66.3,1001.6,3.74,SE,74.7,48.6,0.0,81.3,점검
32,ST-11,당진관측소,2025-06-28 08:00:00,20.0,72.5,1004.8,1.66,W,37.7,16.7,0.0,96.2,MAINT
33,ST-04,세종관측소,2025-11-04 14:30:00,12.8,,1018.0,1.85,NE,14.7,9.4,0.0,33.9,정상
34,ST-12,아산관측소,2025/07/14 16:00,32.0,59.9,1007.6,2.34,N,21.2,10.1,0.0,87.4,MAINT
35,ST-11,당진관측소,2025-04-22 21:00:00,16.1,58.6,1018.8,1.61,W,49.1,33.6,0.0,48.1,정상
36,ST-08,논산관측소,2025-03-12 22:30:00,0.3,89.1,1023.9,2.31,남동,43.5,21.6,0.0,67.6,정상
37,ST-03,신탄진관측소,2025-08-19 10:00:00,26.6,,1017.3,2.46,남동,12.8,1.3,0.0,71.1,정상
38,ST-05,청주관측소,2025-07-10 16:00:00,26.8,72.5,1006.2,1.04,E,27.3,,0.0,89.8,정상
39,ST-06,천안관측소,2025-10-14 16:00:00,15.4,79.8,1018.1,0.68,NE,29.4,20.2,0.0,46.5,점검
40,ST-05,청주관측소,2025-05-27 19:30:00,21.1,54.1,999.3,5.96,SE,57.5,31.0,3.5,32.9,OK
41,ST-03,신탄진관측소,17-Apr-2025 07:00:00,9.7,77.7,1016.6,1.4,N,10.4,2.8,0.0,51.2,정상
42,ST-09,보령관측소,2025/01/31 07:30,-1.3,83.3,1015.3,2.09,E,39.9,22.5,0.0,87.7,normal
43,ST-07,공주관측소,2025-10-20 20:30:00,-999.0,77.3,1016.5,2.26,SE,41.9,33.6,0.0,42.1,normal
44,ST-04,세종관측소,2025-05-07 01:00:00,11.8,82.0,1020.8,0.94,NW,19.1,11.2,0.0,41.5,오류
45,ST-09,보령관측소,2025/05/04 05:30,9.3,78.6,1009.2,2.43,N,69.1,35.1,0.0,43.8,정상
46,ST-12,아산관측소,2025-03-15 21:00:00,6.5,,1032.3,0.57,NW,25.3,10.8,4.9,65.2,OK
47,ST-03,신탄진관측소,2025-03-03 07:30:00,1.9,74.7,1015.1,3.88,W,51.3,30.5,0.0,71.7,점검중
48,ST-11,당진관측소,2025-05-01 11:30:00,16.8,78.3,1010.7,1.21,N,36.6,14.9,0.0,45.2,정상
49,ST-11,당진관측소,2025-02-18 00:00:00,-4.0,73.6,1010.0,1.39,S,28.6,15.0,0.0,78.4,ERROR
50,ST-06,천안관측소,2025/10/21 17:30,10.4,79.1,1009.8,1.36,E,7.5,0.5,0.0,41.4,정상
51,ST-12,아산관측소,2025-10-13 20:00:00,14.4,68.7,1019.8,1.85,NE,17.9,9.1,0.0,45.1,normal
52,ST-01,대덕관측소,22-Mar-2025 05:30:00,4.1,82.0,1016.8,2.6,E,9.5,4.3,0.0,64.1,OK
53,ST-09,보령관측소,2025-09-02 16:30:00,22.7,49.4,1009.9,2.76,SE,32.6,15.7,0.0,65.3,정상
54,ST-05,청주관측소,2025/11/06 17:00,9.9,78.1,1027.6,3.47,W,26.5,,0.0,35.4,정상
55,ST-11,당진관측소,2025-09-10 19:30:00,16.0,64.8,1000.6,1.02,SE,42.8,32.6,0.0,60.7,정상
56,ST-06,천안관측소,2025-02-28 07:00:00,2.4,82.1,1019.2,3.76,SE,23.8,16.4,0.0,74.4,정상
57,ST-07,공주관측소,2025-04-17 16:30:00,18.0,46.7,1021.4,3.04,북동,18.2,13.0,0.0,50.6,정상
58,ST-06,천안관측소,2025/11/09 22:30,3.3,85.5,1017.1,1.28,SE,24.5,18.5,0.0,34.2,OK
59,ST-06,천안관측소,14-Jun-2025 14:30:00,27.0,49.9,1007.8,0.95,SE,11.8,8.1,0.0,24.8,정상
60,ST-11,당진관측소,2025-12-05 05:30:00,-3.6,77.5,1000.8,3.81,NE,39.2,18.9,0.0,96.8,오류
61,ST-07,공주관측소,2025-07-04 17:30:00,26.7,52.8,998.0,3.51,NW,18.2,10.6,0.0,92.4,OK
62,ST-08,논산관측소,2025-09-22 22:00:00,17.3,,1013.8,1.99,S,28.3,19.8,0.0,55.1,정상
63,ST-08,논산관측소,2025-03-30 11:30:00,11.3,64.0,1015.6,1.64,NW,53.6,29.3,0.0,61.2,정상
64,ST-11,당진관측소,2025-12-09 11:00:00,,80.4,1012.0,0.51,NE,17.2,9.2,0.0,94.9,오류
65,ST-09,보령관측소,2025-06-21 03:30:00,18.0,52.6,1013.5,4.73,SE,31.2,20.4,0.0,98.2,정상
66,ST-11,당진관측소,2025-04-15 06:30:00,4.4,67.6,1025.7,1.65,S,18.7,12.5,0.0,51.2,OK
67,ST-01,대덕관측소,2025-07-17 18:00:00,28.5,55.3,998.6,1.45,SW,50.8,24.3,0.0,85.3,정상
68,ST-10,서산관측소,2025/05/11 03:30,11.7,74.2,1011.2,2.54,남동,75.7,43.7,0.0,40.8,정상
69,ST-10,서산관측소,2025-01-03 17:30:00,1.9,74.9,1002.6,1.12,SW,24.8,15.9,0.8,99.2,정상
70,ST-10,서산관측소,2025/08/10 14:00,26.5,54.8,1002.2,2.0,S,27.8,15.2,0.0,74.6,NORMAL
71,ST-02,유성관측소,2025-07-04 21:30:00,23.1,79.8,1001.4,3.78,NW,54.5,29.6,0.0,92.0,정상
72,ST-05,청주관측소,2025/10/24 23:30,11.1,,1018.6,0.24,S,19.5,11.2,0.0,42.3,정상
73,ST-04,세종관측소,2025-07-14 21:30:00,25.0,59.4,1017.3,2.38,SW,124.5,57.1,0.0,87.2,NORMAL
74,ST-10,서산관측소,2025-01-30 15:30:00,7.4,65.1,1013.9,0.42,SW,46.2,28.9,0.0,87.3,정상
75,ST-05,청주관측소,2025-01-09 18:30:00,4.5,73.5,1010.9,0.37,서,23.5,8.8,0.0,96.0,점검중
76,ST-09,보령관측소,2025/01/13 03:30,-5.0,96.8,1005.1,1.31,NE,35.3,18.0,0.0,93.5,OK
77,ST-02,유성관측소,2025-08-10 07:30:00,18.7,67.4,1017.0,3.14,SW,19.0,11.6,0.0,74.3,정상
78,ST-07,공주관측소,2025-03-08 06:00:00,0.4,69.8,1018.4,4.77,NW,29.4,12.3,0.0,69.9,normal
79,ST-12,아산관측소,2025-07-03 14:00:00,27.8,66.2,997.2,5.46,NW,74.8,53.8,0.0,92.4,점검중
80,ST-07,공주관측소,2025-06-12 06:00:00,18.0,72.8,1005.8,2.96,N,108.9,58.3,0.0,26.9,ERROR
81,ST-03,신탄진관측소,2025-04-10 16:30:00,17.0,67.3,1004.3,2.25,SE,48.2,22.0,0.0,54.1,정상
82,ST-06,천안관측소,2025/03/30 17:00,11.6,82.4,1017.8,1.5,S,40.4,24.5,0.0,59.5,정상
83,ST-09,보령관측소,2025-08-23 12:00:00,25.8,48.7,1005.4,2.22,W,11.2,7.3,0.0,69.6,OK
84,ST-07,공주관측소,2025-11-06 18:00:00,9.0,73.9,1004.0,7.58,NE,60.1,36.0,0.0,34.6,OK
85,ST-07,공주관측소,2025-04-08 03:30:00,4.5,82.7,1027.9,6.83,S,60.0,38.5,0.0,56.0,점검
86,ST-05,청주관측소,2025-05-24 19:30:00,23.6,60.4,1016.3,1.88,SE,88.2,51.5,0.0,33.5,정상
87,ST-12,아산관측소,2025-05-20 13:00:00,24.6,77.0,1011.2,1.84,S,23.9,15.3,0.0,37.1,정상
88,ST-07,공주관측소,2025-05-28 13:00:00,26.6,47.4,1015.8,0.48,NW,24.1,16.3,0.0,32.8,정상
89,ST-01,대덕관측소,2025-05-26 17:30:00,25.0,71.8,999.3,2.6,S,52.3,24.2,0.0,34.2,점검
90,ST-02,유성관측소,2025/07/30 00:30,16.2,84.4,1010.2,2.74,E,20.9,5.6,0.0,80.9,점검중
91,ST-04,세종관측소,2025-02-06 17:30:00,2.4,73.0,1016.0,1.17,NW,9.1,6.4,0.0,81.9,정상
92,ST-12,아산관측소,2025-08-24 00:00:00,18.0,58.8,1024.1,3.91,E,31.3,25.0,0.0,69.2,오류
93,ST-07,공주관측소,2025-04-14 05:00:00,7.7,80.4,1023.3,0.97,NE,72.5,,0.0,53.6,OK
94,ST-08,논산관측소,2025-05-08 23:30:00,16.6,76.7,1007.4,4.78,NW,88.1,63.4,0.0,41.5,정상
95,ST-06,천안관측소,2025-07-30 20:30:00,23.4,53.5,1010.3,2.36,E,56.7,29.1,0.0,80.1,정상
96,ST-11,당진관측소,2025-01-23 07:30:00,-6.8,98.1,1008.7,1.96,N,43.0,28.2,0.0,90.7,점검중
97,ST-01,대덕관측소,2025/04/04 00:00,9.8,91.7,1010.2,4.68,NE,28.4,21.3,0.0,58.5,점검중
98,ST-02,유성관측소,2025-02-22 23:30:00,-0.5,77.1,1014.5,2.31,NW,31.7,,0.0,76.0,점검
99,ST-02,유성관측소,2025-06-28 19:30:00,27.3,47.9,1011.3,0.26,남서,,25.5,0.0,95.1,정상
100,ST-01,대덕관측소,2025-06-23 19:00:00,26.1,63.5,1005.7,3.69,SW,121.4,85.6,0.0,97.4,정상
101,ST-06,천안관측소,01-Aug-2025 03:30:00,21.0,70.4,1012.4,4.12,SW,40.1,,0.0,79.0,OK
102,ST-09,보령관측소,2025-03-07 14:00:00,10.1,65.0,1018.2,2.58,N,25.9,20.6,0.0,69.5,OK
103,ST-10,서산관측소,2025-05-17 08:00:00,17.5,72.5,1009.4,1.13,N,21.1,14.4,0.0,38.5,오류
104,ST-07,공주관측소,2025-07-01 12:30:00,26.1,58.5,1006.3,0.5,E,65.1,44.3,0.0,91.7,정상
105,ST-08,논산관측소,2025/09/01 11:00,23.9,51.0,1020.8,0.77,SW,20.9,10.7,0.0,64.3,점검중
106,ST-06,천안관측소,2025-06-01 06:30:00,16.0,72.2,999.6,1.3,E,80.6,49.0,0.0,31.2,정상
107,ST-06,천안관측소,14-Apr-2025 16:00:00,17.2,62.4,1018.0,3.48,N,40.1,,0.0,52.2,normal
108,ST-07,공주관측소,2025-07-09 22:00:00,19.2,61.7,1012.0,0.27,E,29.1,15.4,0.0,87.7,OK
109,ST-11,당진관측소,2025/02/24 19:30,6.1,70.4,1009.1,1.21,N,50.6,27.0,0.0,76.3,정상
110,ST-02,유성관측소,2025-10-18 09:30:00,12.1,63.8,1024.6,3.43,N,10.1,7.8,0.0,42.9,점검중
111,ST-04,세종관측소,2025-06-15 21:00:00,21.0,64.9,1021.9,2.85,NE,64.6,37.2,0.0,25.1,정상
112,ST-05,청주관측소,2025-06-02 09:30:00,19.7,66.8,1009.2,1.21,W,72.8,52.1,0.0,30.9,OK
113,ST-01,대덕관측소,2025-01-22 07:00:00,-0.2,84.4,1016.4,2.61,S,83.1,48.5,0.0,89.9,normal
114,ST-04,세종관측소,2025/08/17 03:00,17.9,64.8,1012.7,0.33,S,136.0,94.5,0.0,71.3,점검중
115,ST-08,논산관측소,2025-07-04 00:00:00,18.2,81.1,1011.0,6.71,SE,57.9,36.2,0.0,91.5,정상
116,ST-02,유성관측소,2025-10-09 14:00:00,14.3,67.9,1019.0,2.17,S,24.7,15.0,0.0,47.8,점검중
117,ST-01,대덕관측소,2025-03-24 11:00:00,9.2,73.8,1012.7,0.92,SE,43.1,,0.0,64.7,ERROR
118,ST-01,대덕관측소,2025-03-14 10:00:00,7.8,84.0,1012.9,0.59,S,70.6,42.2,0.0,66.7,점검
119,ST-02,유성관측소,2025-11-14 03:30:00,-1.9,74.4,1020.3,1.15,SE,16.7,12.7,0.0,30.9,정상
120,ST-01,대덕관측소,2025-11-24 04:00:00,1.5,74.0,1014.8,5.24,SE,10.8,8.8,2.3,26.9,정상
121,ST-09,보령관측소,2025-08-01 15:30:00,31.9,,1020.8,0.79,N,14.3,3.8,1.2,78.9,정상
122,ST-07,공주관측소,2025-08-12 18:00:00,24.7,61.5,1023.9,1.0,SW,17.6,9.7,0.5,73.3,정상
123,ST-02,유성관측소,2025-02-28 13:30:00,5.8,89.5,1000.5,1.18,N,25.9,15.8,0.0,73.8,정상
124,ST-07,공주관측소,2025-01-06 09:30:00,-4.4,78.6,1007.7,5.29,SW,25.9,15.2,0.0,97.6,오류
125,ST-09,보령관측소,2025/09/18 05:30,15.5,73.5,1009.4,0.72,E,54.1,37.9,0.0,58.1,정상
126,ST-05,청주관측소,2025-05-24 04:00:00,11.5,70.9,1016.7,1.95,W,91.5,48.1,0.0,34.5,정상
127,ST-08,논산관측소,2025/10/02 22:30,18.8,82.8,1009.3,2.55,SE,16.7,7.7,0.0,50.7,정상
128,ST-07,공주관측소,2025-01-27 01:00:00,-5.7,89.1,1023.6,0.94,NE,19.1,10.2,0.0,87.7,점검중
129,ST-11,당진관측소,2025-11-25 15:00:00,8.5,63.6,1010.1,0.85,S,5.2,2.4,0.0,27.7,OK
130,ST-11,당진관측소,2025-01-16 00:00:00,-4.2,92.5,1014.4,0.11,W,28.7,19.6,0.0,93.9,OK
131,ST-02,유성관측소,2025-08-13 20:00:00,20.3,74.9,1022.6,0.26,NW,,11.4,0.0,72.7,오류
132,ST-07,공주관측소,2025-03-11 10:30:00,5.4,61.7,1002.6,4.87,E,115.4,73.8,3.4,68.2,점검중
133,ST-03,신탄진관측소,2025/08/16 02:30,,63.8,1013.1,3.31,W,18.2,5.9,0.0,72.3,OK
134,ST-03,신탄진관측소,18-Nov-2025 09:30:00,6.0,79.3,1006.5,2.86,N,25.2,11.0,0.0,28.5,normal
135,ST-01,대덕관측소,2025/09/18 04:30,13.4,71.4,1015.0,3.58,S,32.8,19.8,0.0,57.5,점검중
136,ST-02,유성관측소,2025-04-09 14:30:00,11.0,79.7,1012.6,2.5,E,67.1,,0.0,55.8,정상
137,ST-09,보령관측소,2025-01-26 10:00:00,0.1,87.9,1020.7,3.61,NW,13.5,7.0,0.0,87.3,NORMAL
138,ST-07,공주관측소,2025-02-22 13:00:00,3.6,99.0,1014.1,4.05,W,33.5,16.3,0.0,75.6,오류
139,ST-06,천안관측소,2025/10/08 12:30,14.4,70.2,1018.7,2.98,N,13.4,5.5,0.0,46.5,오류
140,ST-01,대덕관측소,2025-03-30 23:30:00,6.8,68.1,1008.6,2.35,W,24.0,9.9,0.0,59.6,오류
141,ST-12,아산관측소,2025-09-04 14:00:00,26.6,62.9,1007.7,0.74,N,45.0,24.8,0.0,63.2,normal
142,ST-09,보령관측소,2025-05-25 22:30:00,16.3,51.0,1017.0,2.93,N,19.1,6.7,0.0,34.2,MAINT
143,ST-04,세종관측소,2025-08-09 12:00:00,27.9,48.2,1004.5,1.35,서,26.5,12.3,0.0,76.4,정상
144,ST-04,세종관측소,2025-07-19 16:00:00,29.4,38.3,1020.3,0.42,N,63.1,32.2,0.0,85.7,OK
145,ST-07,공주관측소,2025-08-31 00:00:00,16.3,69.4,1013.2,1.95,N,33.5,21.6,0.0,66.1,normal
146,ST-05,청주관측소,01-May-2025 01:00:00,10.7,76.5,1007.2,3.94,SE,27.8,20.3,0.0,46.2,OK
147,ST-06,천안관측소,2025/11/23 16:30,7.8,74.9,1011.2,1.06,E,13.0,6.7,0.0,26.3,정상
148,ST-09,보령관측소,27-Mar-2025 06:30:00,6.1,92.3,1017.2,5.35,NE,24.5,16.5,0.0,62.6,OK
149,ST-09,보령관측소,2025-02-03 10:30:00,,79.8,1010.1,1.89,E,34.7,12.6,0.0,85.2,MAINT
150,ST-08,논산관측소,2025-03-31 00:30:00,7.6,76.7,1024.9,4.79,E,19.7,10.7,0.0,60.6,정상
151,ST-01,대덕관측소,2025-11-07 09:30:00,8.2,73.7,1014.1,2.23,W,7.5,4.1,0.0,33.7,정상
152,ST-01,대덕관측소,2025-09-26 04:30:00,10.9,60.4,1008.2,1.15,E,15.8,5.1,0.0,53.9,normal
153,ST-01,대덕관측소,2025-12-12 05:30:00,-1.6,87.8,1015.3,3.46,NE,15.3,6.8,0.0,93.6,정상
154,ST-05,청주관측소,2025-02-28 18:30:00,7.9,85.9,1006.2,4.69,SE,40.1,22.9,0.0,73.1,점검중
155,ST-01,대덕관측소,2025-08-25 06:00:00,18.9,60.8,1025.2,0.97,NE,14.4,10.2,0.0,68.1,정상
156,ST-05,청주관측소,2025/09/05 16:00,21.6,70.0,1012.8,3.45,NW,51.5,33.0,0.0,62.0,정상
157,ST-11,당진관측소,2025/07/28 11:30,22.6,66.9,1021.3,0.73,SW,16.2,6.6,0.0,81.4,정상
158,ST-05,청주관측소,15-Aug-2025 18:00:00,25.5,66.6,1020.3,2.55,N,13.8,5.2,0.0,73.7,정상
159,ST-12,아산관측소,2025-05-12 14:00:00,21.7,73.5,1014.1,0.87,SE,15.7,,0.0,41.2,OK
160,ST-12,아산관측소,2025-08-09 00:30:00,19.3,70.8,1021.7,4.13,SW,,7.6,0.0,76.5,NORMAL
161,ST-10,서산관측소,2025-09-01 09:30:00,19.7,68.4,1011.3,5.57,서,31.5,17.6,0.0,64.8,정상
162,ST-08,논산관측소,2025-07-16 15:00:00,29.5,75.8,1015.1,2.31,W,31.9,14.8,0.0,,ERROR
163,ST-11,당진관측소,2025/07/12 14:30,25.5,132.5,1002.9,1.17,W,91.0,49.6,0.0,88.9,normal
164,ST-08,논산관측소,2025-06-28 14:30:00,31.4,63.6,1005.1,1.28,E,53.7,28.7,0.0,94.6,점검중
165,ST-10,서산관측소,2025-01-01 12:00:00,3.1,85.0,1012.2,2.89,E,14.7,11.1,0.0,99.5,정상
166,ST-03,신탄진관측소,22-Jan-2025 11:30:00,4.1,73.1,1009.4,4.78,SW,14.0,11.9,2.8,91.3,normal
167,ST-10,서산관측소,2025/04/10 02:00,8.0,72.5,1018.2,2.74,남,32.6,17.6,0.0,55.7,ERROR
168,ST-11,당진관측소,2025-08-09 21:30:00,20.4,75.4,1016.7,0.86,N,28.5,19.4,0.0,76.0,정상
169,ST-11,당진관측소,27-Feb-2025 04:00:00,0.5,83.4,1012.2,1.65,SW,15.8,9.1,0.0,73.5,OK
170,ST-03,신탄진관측소,2025-04-08 16:30:00,19.2,64.0,1011.6,0.05,N,11.6,10.2,0.0,55.2,ERROR
171,ST-12,아산관측소,10-Oct-2025 21:30:00,13.0,84.3,1023.3,1.47,S,17.1,9.6,0.0,47.2,점검중
172,ST-05,청주관측소,2025-12-06 19:30:00,3.7,77.9,1007.0,1.74,N,5.6,4.7,0.0,97.2,점검중
173,ST-08,논산관측소,2025-10-28 20:30:00,10.7,128.4,1014.2,0.07,남동,,7.6,0.5,38.9,OK
174,ST-09,보령관측소,2025-02-14 09:00:00,-2.1,78.3,1007.6,1.92,NW,12.7,7.7,0.0,80.5,점검중
175,ST-02,유성관측소,2025-09-06 15:00:00,24.9,65.5,1003.8,0.71,NW,63.9,46.1,0.0,63.5,ERROR
176,ST-11,당진관측소,2025-05-13 19:30:00,17.3,88.3,1014.7,1.17,E,20.4,,0.0,39.6,점검중
177,ST-01,대덕관측소,2025/02/07 19:00,5.1,64.6,1020.9,2.06,W,12.4,5.1,0.0,83.5,정상
178,ST-04,세종관측소,2025-08-05 06:00:00,18.2,70.8,1019.1,0.4,W,44.2,25.6,0.0,78.8,정상
179,ST-09,보령관측소,04-Jun-2025 19:30:00,22.1,71.4,1016.9,0.96,NW,69.0,37.1,1.4,29.2,정상
180,ST-09,보령관측소,2025-09-23 11:00:00,18.4,75.7,1010.9,1.75,NE,43.6,23.0,0.0,55.7,OK
181,ST-06,천안관측소,05-Jun-2025 20:30:00,23.1,46.8,1015.1,6.11,NE,266.4,123.8,0.0,28.5,NORMAL
182,ST-11,당진관측소,2025-08-24 19:30:00,19.1,62.9,1011.2,3.46,E,19.5,16.7,0.0,68.5,점검중
183,ST-11,당진관측소,2025/07/10 06:30,17.3,,1011.8,1.34,SE,102.5,53.8,0.0,89.8,정상
184,ST-05,청주관측소,2025-08-03 08:00:00,22.7,64.8,1015.5,10.54,NW,25.9,10.3,0.0,79.1,normal
185,ST-08,논산관측소,2025-09-14 04:30:00,15.4,85.1,1032.2,3.69,E,13.4,8.7,2.8,59.8,OK
186,ST-11,당진관측소,2025-06-24 13:30:00,27.9,56.4,1011.2,2.08,NE,77.8,50.6,0.0,95.2,OK
187,ST-08,논산관측소,31-Jul-2025 04:00:00,23.1,,1009.2,1.06,W,15.6,8.2,0.0,79.5,정상
188,ST-04,세종관측소,2025-03-25 16:30:00,15.0,56.3,1016.1,0.74,S,11.2,6.3,2.3,63.1,ERROR
189,ST-05,청주관측소,2025-02-17 17:00:00,9.0,82.7,1020.2,1.46,NE,32.8,15.2,0.0,79.3,정상
190,ST-05,청주관측소,2025-09-17 20:00:00,21.1,,1010.8,5.79,S,41.6,22.7,0.0,56.8,OK
191,ST-02,유성관측소,2025-08-19 16:30:00,25.3,70.1,1019.2,2.97,SW,16.1,9.3,1.4,70.4,점검중
192,ST-11,당진관측소,2025-04-16 07:00:00,9.8,85.4,1012.1,6.85,W,25.3,11.7,0.0,51.7,정상
193,ST-03,신탄진관측소,2025-09-11 03:00:00,17.3,67.2,1009.6,6.69,NW,52.1,26.5,0.0,60.6,OK
194,ST-06,천안관측소,2025-09-26 04:30:00,10.3,72.6,1017.3,2.74,E,29.3,16.5,0.0,54.0,정상
195,ST-12,아산관측소,2025-08-13 21:00:00,20.7,60.8,1014.0,1.97,NW,16.6,2.0,0.0,72.8,ERROR
196,ST-04,세종관측소,2025-02-22 12:00:00,7.9,76.5,1008.0,3.23,W,30.5,16.5,0.0,75.7,정상
197,ST-08,논산관측소,2025/01/04 05:30,-4.8,90.8,1021.6,3.05,SE,7.4,4.9,0.0,97.9,정상
198,ST-03,신탄진관측소,2025-07-15 00:00:00,24.4,64.9,1012.8,0.94,W,36.2,22.0,0.0,85.0,정상
199,ST-08,논산관측소,24-Sep-2025 22:30:00,15.2,80.7,1004.5,5.69,SW,36.7,22.6,0.0,54.4,점검중
200,ST-01,대덕관측소,2025-07-20 03:00:00,19.8,71.1,999.4,1.46,SW,46.1,27.4,3.9,84.7,점검중
201,ST-06,천안관측소,2025-06-09 15:00:00,28.0,54.3,1024.6,4.37,E,20.7,9.1,0.0,25.9,정상
202,ST-05,청주관측소,2025-09-23 23:00:00,11.7,67.8,1014.8,3.71,E,20.3,9.0,0.0,53.8,점검중
203,ST-09,보령관측소,2025-08-15 02:00:00,17.0,79.1,1008.9,1.82,E,10.9,,0.0,71.5,정상
204,ST-06,천안관측소,2025-10-05 02:30:00,5.5,69.3,1014.8,2.52,NW,25.3,,0.0,50.2,MAINT
205,ST-08,논산관측소,2025-09-30 21:30:00,14.6,78.5,1014.8,0.99,SE,27.4,11.4,0.0,51.3,OK
206,ST-11,당진관측소,20-Mar-2025 07:30:00,4.8,71.7,1010.3,2.14,S,44.2,26.7,0.0,64.3,점검
207,ST-11,당진관측소,2025-08-12 00:30:00,14.4,75.6,1009.3,1.2,SW,29.7,21.3,0.0,74.5,정상
208,ST-09,보령관측소,2025-11-25 16:30:00,10.3,80.6,1010.3,1.14,NE,25.2,14.6,0.4,26.5,정상
209,ST-06,천안관측소,2025-06-08 19:00:00,22.1,68.7,1009.4,2.17,S,20.3,10.3,4.3,28.0,점검중
210,ST-08,논산관측소,2025/05/08 13:30,21.9,66.9,1023.9,3.87,NE,82.5,40.1,0.0,41.6,OK
211,ST-01,대덕관측소,2025-11-05 05:00:00,6.2,84.0,1014.9,1.96,S,15.7,10.4,0.0,34.0,정상
212,ST-02,유성관측소,2025-12-07 10:30:00,5.2,81.5,1020.1,3.33,SW,16.0,7.6,0.0,96.4,MAINT
213,ST-09,보령관측소,2025-03-20 09:30:00,7.4,57.5,1017.7,5.02,NW,92.8,46.2,0.0,63.8,정상
214,ST-08,논산관측소,2025/02/14 20:30,3.4,72.9,1012.7,1.04,SE,17.3,13.2,0.0,80.5,normal
